ent	loc	string	filenum	id	ent_name	start	end
T0	ENT 48 68	the Longbourn family	26	24	Bennets	48	68
T1	ENT 127 134	Meryton	26	-1	NONE	127	134
T2	ENT 229 238	Elizabeth	26	0	Elizabeth	229	238
T3	ENT 242 250	Hunsford	26	-1	NONE	242	250
T4	ENT 253 256	She	26	0	Elizabeth	253	256
T5	ENT 320 329	Charlotte	26	9	Charlotte	320	329
T6	ENT 332 335	she	26	0	Elizabeth	332	335
T7	ENT 379 382	she	26	0	Elizabeth	379	382
T8	ENT 416 423	herself	26	0	Elizabeth	416	423
T9	ENT 499 502	her	26	0	Elizabeth	499	502
T10	ENT 520 529	Charlotte	26	9	Charlotte	520	529
T11	ENT 551 554	her	26	0	Elizabeth	551	554
T12	ENT 566 577	Mr. Collins	26	20	Mr. Collins	566	577
T13	ENT 633 641	a mother	26	3	Mrs. Bennet	633	641
T14	ENT 646 674	such uncompanionable sisters	26	24	Bennets	646	674
T15	ENT 677 681	home	26	-1	NONE	677	681
T16	ENT 792 795	her	26	0	Elizabeth	792	795
T17	ENT 806 810	Jane	26	2	Jane	806	810
T18	ENT 854 857	she	26	0	Elizabeth	854	857
T19	ENT 980 989	Charlotte	26	9	Charlotte	980	989
T20	ENT 1008 1011	She	26	0	Elizabeth	1008	1011
T21	ENT 1029 1040	Sir William	26	14	Sir William Lucas	1029	1040
T22	ENT 1045 1048	his	26	14	Sir William Lucas	1045	1048
T23	ENT 1045 1064	his second daughter	26	27	OTHER	1045	1064
T24	ENT 1106 1112	London	26	-1	NONE	1106	1112
T25	ENT 1209 1212	her	26	0	Elizabeth	1209	1212
T26	ENT 1209 1219	her father	26	4	Mr. Bennet	1209	1219
T27	ENT 1247 1250	her	26	0	Elizabeth	1247	1250
T28	ENT 1307 1310	her	26	0	Elizabeth	1307	1310
T29	ENT 1324 1326	he	26	4	Mr. Bennet	1324	1326
T30	ENT 1332 1335	her	26	0	Elizabeth	1332	1335
T31	ENT 1348 1351	him	26	4	Mr. Bennet	1348	1351
T32	ENT 1384 1387	her	26	0	Elizabeth	1384	1387
T33	ENT 1418 1425	herself	26	0	Elizabeth	1418	1425
T34	ENT 1430 1441	Mr. Wickham	26	7	Wickham	1430	1441
T35	ENT 1470 1473	his	26	7	Wickham	1470	1473
T36	ENT 1491 1494	His	26	7	Wickham	1491	1494
T37	ENT 1526 1529	him	26	7	Wickham	1526	1529
T38	ENT 1542 1551	Elizabeth	26	0	Elizabeth	1542	1551
T39	ENT 1561 1570	the first	26	0	Elizabeth	1561	1570
T40	ENT 1596 1599	his	26	7	Wickham	1596	1599
T41	ENT 1612 1621	the first	26	0	Elizabeth	1612	1621
T42	ENT 1679 1682	his	26	7	Wickham	1679	1682
T43	ENT 1701 1704	her	26	0	Elizabeth	1701	1704
T44	ENT 1721 1724	her	26	0	Elizabeth	1721	1724
